Parameter,Value,Notes
Min Interest Rate,8.10%,Competitive rate
Processing Fee,"0.25% (Max ₹25,000)",Waiver for govt takeover loans
Max Tenure,30 years,Or until borrower turns 75
LTV ≤ 30 L,90%,
LTV 30–75 L,80%,
LTV > 75 L,75%,
Security,Equitable/Registered mortgage,
Eligibility,"Resident Indians, NRIs, PIOs, OCIs",Salaried or self-employed
Prepayment Charges,None,No hidden fees
